Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_CHECKLIST,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,environment_(biome),environment_(feature),environment_(material),Experiment,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,project_name,ReleaseDate,sample_acc,Sample Name,sample_name,sequencing_method,SRA_accession,SRA Study,title,Run
ERR688435,31881,WGS,82,111787133,PRJEB7774,SAMEA3136725,116650042,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ncbi.public,ena,s3.us-east-1,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633436,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:32Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021630-17,SINGLE,other,METAGENOMIC,111,111,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608576,SAMEA3136725,ERS608576,Illumina,ERS608576,ERP008729,Stool sample from carcinoma,ERR688435
ERR688436,31883,WGS,84,89520013,PRJEB7774,SAMEA3136763,94349650,BGI,2013,public,"fastq,sra","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US,ena",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633437,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021717-20,SINGLE,other,METAGENOMIC,89,89,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608614,SAMEA3136763,ERS608614,Illumina,ERS608614,ERP008729,Stool sample from carcinoma,ERR688436
ERR688437,530018,WGS,88,71228008,PRJEB7774,SAMEA3136708,68985862,BGI,2013,public,"fastq,sra","ncbi,s3,ena,gs","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633438,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021942-133,SINGLE,other,METAGENOMIC,71,65,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608559,SAMEA3136708,ERS608559,Illumina,ERS608559,ERP008729,Stool sample from advanced adenoma,ERR688437
ERR688438,530026,WGS,85,70231639,PRJEB7774,SAMEA3136696,69748110,BGI,2013,public,"sra,fastq","gs,ncbi,ena,s3","ena,ncbi.public,s3.us-east-1,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633439,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021930-88,SINGLE,other,METAGENOMIC,70,66,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608547,SAMEA3136696,ERS608547,Illumina,ERS608547,ERP008729,Stool sample from advanced adenoma,ERR688438
ERR688439,530028,WGS,89,63067961,PRJEB7774,SAMEA3136705,60359555,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ncbi.public,ena,gs.US,s3.us-east-1",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633440,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021939-113,SINGLE,other,METAGENOMIC,63,57,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608556,SAMEA3136705,ERS608556,Illumina,ERS608556,ERP008729,Stool sample from advanced adenoma,ERR688439
ERR688440,530002,WGS,88,61527401,PRJEB7774,SAMEA3136687,58322445,BGI,2013,public,"fastq,sra","gs,ncbi,ena,s3","ena,s3.us-east-1,gs.US,ncbi.public",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633441,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021723-33,SINGLE,other,METAGENOMIC,61,55,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608538,SAMEA3136687,ERS608538,Illumina,ERS608538,ERP008729,Stool sample from advanced adenoma,ERR688440
ERR688441,530039,WGS,91,55089762,PRJEB7774,SAMEA3136710,50773696,BGI,2013,public,"sra,fastq","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US,ena",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633442,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022088-140,SINGLE,other,METAGENOMIC,55,48,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608561,SAMEA3136710,ERS608561,Illumina,ERS608561,ERP008729,Stool sample from advanced adenoma,ERR688441
ERR688442,530041,WGS,89,117162301,PRJEB7774,SAMEA3136721,110693684,BGI,2013,public,"sra,fastq","gs,ncbi,ena,s3","ena,ncbi.public,s3.us-east-1,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633443,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021954-25,SINGLE,other,METAGENOMIC,117,105,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608572,SAMEA3136721,ERS608572,Illumina,ERS608572,ERP008729,Stool sample from advanced adenoma,ERR688442
ERR688443,530050,WGS,89,62566695,PRJEB7774,SAMEA3136629,59455764,BGI,2013,public,"fastq,sra","ncbi,ena,gs,s3","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633444,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021960-39,SINGLE,other,METAGENOMIC,62,56,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608480,SAMEA3136629,ERS608480,Illumina,ERS608480,ERP008729,Stool sample from controls,ERR688443
ERR688444,530052,WGS,90,64856705,PRJEB7774,SAMEA3136661,60542014,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US,ena",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633445,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022065-27,SINGLE,other,METAGENOMIC,64,57,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608512,SAMEA3136661,ERS608512,Illumina,ERS608512,ERP008729,Stool sample from controls,ERR688444
ERR688445,530054,WGS,87,110015407,PRJEB7774,SAMEA3136698,109738552,BGI,2013,public,"fastq,sra","ena,ncbi,s3,gs","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633446,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021932-90,SINGLE,other,METAGENOMIC,110,104,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608549,SAMEA3136698,ERS608549,Illumina,ERS608549,ERP008729,Stool sample from advanced adenoma,ERR688445
ERR688446,530055,WGS,88,62433034,PRJEB7774,SAMEA3136675,60870914,BGI,2013,public,"fastq,sra","ncbi,s3,ena,gs","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633447,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022078-93,SINGLE,other,METAGENOMIC,62,58,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608526,SAMEA3136675,ERS608526,Illumina,ERS608526,ERP008729,Stool sample from controls,ERR688446
ERR688447,530074,WGS,86,87454481,PRJEB7774,SAMEA3136639,85634126,BGI,2013,public,"fastq,sra","gs,ncbi,s3,ena","gs.US,ena,s3.us-east-1,ncbi.public",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633448,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022044-93,SINGLE,other,METAGENOMIC,87,81,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608490,SAMEA3136639,ERS608490,Illumina,ERS608490,ERP008729,Stool sample from controls,ERR688447
ERR688448,530075,WGS,87,83970366,PRJEB7774,SAMEA3136678,82848840,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633449,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022052-129,SINGLE,other,METAGENOMIC,83,79,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608529,SAMEA3136678,ERS608529,Illumina,ERS608529,ERP008729,Stool sample from controls,ERR688448
ERR688449,530119,WGS,85,106141705,PRJEB7774,SAMEA3136651,106117203,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,ncbi.public,gs.US,s3.us-east-1",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633450,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022056-142,SINGLE,other,METAGENOMIC,106,101,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608502,SAMEA3136651,ERS608502,Illumina,ERS608502,ERP008729,Stool sample from controls,ERR688449
ERR688450,530142,WGS,79,149234291,PRJEB7774,SAMEA3136695,161194606,BGI,2013,public,"fastq,sra","ncbi,ena,gs,s3","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633451,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021929-87,SINGLE,other,METAGENOMIC,149,153,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608546,SAMEA3136695,ERS608546,Illumina,ERS608546,ERP008729,Stool sample from advanced adenoma,ERR688450
ERR688451,530154,WGS,87,92232107,PRJEB7774,SAMEA3136636,92956819,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633452,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021967-88,SINGLE,other,METAGENOMIC,92,88,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608487,SAMEA3136636,ERS608487,Illumina,ERS608487,ERP008729,Stool sample from controls,ERR688451
ERR688452,530163,WGS,88,84966327,PRJEB7774,SAMEA3136655,83219755,BGI,2013,public,"sra,fastq","ncbi,ena,gs,s3","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633453,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022060-16,SINGLE,other,METAGENOMIC,84,79,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608506,SAMEA3136655,ERS608506,Illumina,ERS608506,ERP008729,Stool sample from controls,ERR688452
ERR688453,530167,WGS,77,186423295,PRJEB7774,SAMEA3136627,200327101,BGI,2013,public,"fastq,sra","ena,s3,gs,ncbi","ena,ncbi.public,s3.us-east-1,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633454,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021958-36,SINGLE,other,METAGENOMIC,186,191,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608478,SAMEA3136627,ERS608478,Illumina,ERS608478,ERP008729,Stool sample from controls,ERR688453
ERR688454,530168,WGS,87,47061788,PRJEB7774,SAMEA3136682,46149778,BGI,2013,public,"sra,fastq","gs,ncbi,s3,ena","gs.US,s3.us-east-1,ena,ncbi.public",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633455,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021721-27,SINGLE,other,METAGENOMIC,47,44,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608533,SAMEA3136682,ERS608533,Illumina,ERS608533,ERP008729,Stool sample from advanced adenoma,ERR688454
ERR688455,530172,WGS,92,69261426,PRJEB7774,SAMEA3136711,65383981,BGI,2013,public,"sra,fastq","gs,ncbi,ena,s3","ncbi.public,s3.us-east-1,gs.US,ena",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633456,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:32Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021944-142,SINGLE,other,METAGENOMIC,69,62,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608562,SAMEA3136711,ERS608562,Illumina,ERS608562,ERP008729,Stool sample from advanced adenoma,ERR688455
ERR688456,530177,WGS,89,61510650,PRJEB7774,SAMEA3136631,59282313,BGI,2013,public,"fastq,sra","ena,gs,s3,ncbi","ncbi.public,ena,s3.us-east-1,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633457,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021962-45,SINGLE,other,METAGENOMIC,61,56,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608482,SAMEA3136631,ERS608482,Illumina,ERS608482,ERP008729,Stool sample from controls,ERR688456
ERR688457,530185,WGS,85,58210922,PRJEB7774,SAMEA3136683,58212175,BGI,2013,public,"fastq,sra","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633458,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021722-32,SINGLE,other,METAGENOMIC,58,55,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608534,SAMEA3136683,ERS608534,Illumina,ERS608534,ERP008729,Stool sample from advanced adenoma,ERR688457
ERR688458,530215,WGS,88,74635490,PRJEB7774,SAMEA3136666,70951806,BGI,2013,public,"fastq,sra","ncbi,ena,gs,s3","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633459,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022070-39,SINGLE,other,METAGENOMIC,74,67,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608517,SAMEA3136666,ERS608517,Illumina,ERS608517,ERP008729,Stool sample from controls,ERR688458
ERR688459,530227,WGS,91,86925954,PRJEB7774,SAMEA3136640,81647985,BGI,2013,public,"fastq,sra","ena,ncbi,s3,gs","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633460,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022045-94,SINGLE,other,METAGENOMIC,86,77,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608491,SAMEA3136640,ERS608491,Illumina,ERS608491,ERP008729,Stool sample from controls,ERR688459
ERR688460,530251,WGS,93,86075057,PRJEB7774,SAMEA3136649,78286143,BGI,2013,public,"fastq,sra","gs,ncbi,s3,ena","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633461,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022054-136,SINGLE,other,METAGENOMIC,86,74,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608500,SAMEA3136649,ERS608500,Illumina,ERS608500,ERP008729,Stool sample from controls,ERR688460
ERR688461,530258,WGS,88,84698402,PRJEB7774,SAMEA3136672,82311848,BGI,2013,public,"fastq,sra","ena,s3,gs,ncbi","ncbi.public,ena,s3.us-east-1,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633462,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022074-87,SINGLE,other,METAGENOMIC,84,78,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608523,SAMEA3136672,ERS608523,Illumina,ERS608523,ERP008729,Stool sample from controls,ERR688461
ERR688462,530262,WGS,92,73985015,PRJEB7774,SAMEA3136709,67252894,BGI,2013,public,"fastq,sra","ena,ncbi,s3,gs","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633463,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:32Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021943-136,SINGLE,other,METAGENOMIC,73,64,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608560,SAMEA3136709,ERS608560,Illumina,ERS608560,ERP008729,Stool sample from advanced adenoma,ERR688462
ERR688463,530295,WGS,89,106799839,PRJEB7774,SAMEA3136642,102709638,BGI,2013,public,"fastq,sra","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633464,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022047-102,SINGLE,other,METAGENOMIC,106,97,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608493,SAMEA3136642,ERS608493,Illumina,ERS608493,ERP008729,Stool sample from controls,ERR688463
ERR688464,530297,WGS,78,159969598,PRJEB7774,SAMEA3136694,174661443,BGI,2013,public,"fastq,sra","s3,ena,gs,ncbi","ncbi.public,gs.US,s3.us-east-1,ena",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633465,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021928-84,SINGLE,other,METAGENOMIC,159,166,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608545,SAMEA3136694,ERS608545,Illumina,ERS608545,ERP008729,Stool sample from advanced adenoma,ERR688464
ERR688465,530315,WGS,87,56829538,PRJEB7774,SAMEA3136628,55634338,BGI,2013,public,"fastq,sra","ena,ncbi,s3,gs","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633466,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021959-37,SINGLE,other,METAGENOMIC,56,53,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608479,SAMEA3136628,ERS608479,Illumina,ERS608479,ERP008729,Stool sample from controls,ERR688465
ERR688466,530323,WGS,89,89959659,PRJEB7774,SAMEA3136719,85942100,BGI,2013,public,"fastq,sra","ena,s3,gs,ncbi","ena,ncbi.public,gs.US,s3.us-east-1",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633467,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:32Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021952-23,SINGLE,other,METAGENOMIC,89,81,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608570,SAMEA3136719,ERS608570,Illumina,ERS608570,ERP008729,Stool sample from advanced adenoma,ERR688466
ERR688467,530331,WGS,87,78425703,PRJEB7774,SAMEA3136671,75952975,BGI,2013,public,"fastq,sra","s3,gs,ncbi,ena","ena,ncbi.public,s3.us-east-1,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633468,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022431-84,SINGLE,other,METAGENOMIC,78,72,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608522,SAMEA3136671,ERS608522,Illumina,ERS608522,ERP008729,Stool sample from controls,ERR688467
ERR688468,530348,WGS,88,84007405,PRJEB7774,SAMEA3136720,81786858,BGI,2013,public,"fastq,sra","s3,ena,gs,ncbi","ncbi.public,gs.US,ena,s3.us-east-1",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633469,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:32Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021953-24,SINGLE,other,METAGENOMIC,84,77,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608571,SAMEA3136720,ERS608571,Illumina,ERS608571,ERP008729,Stool sample from advanced adenoma,ERR688468
ERR688469,530364,WGS,87,82154745,PRJEB7774,SAMEA3136653,81034034,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ncbi.public,ena,s3.us-east-1,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633470,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022058-166,SINGLE,other,METAGENOMIC,82,77,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608504,SAMEA3136653,ERS608504,Illumina,ERS608504,ERP008729,Stool sample from controls,ERR688469
ERR688470,530368,WGS,88,70209894,PRJEB7774,SAMEA3136643,67883927,BGI,2013,public,"fastq,sra","s3,gs,ncbi,ena","gs.US,ncbi.public,ena,s3.us-east-1",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633471,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022048-108,SINGLE,other,METAGENOMIC,70,64,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608494,SAMEA3136643,ERS608494,Illumina,ERS608494,ERP008729,Stool sample from controls,ERR688470
ERR688471,530373,WGS,82,83680278,PRJEB7774,SAMEA3136732,86953268,BGI,2013,public,"fastq,sra","s3,ncbi,ena,gs","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633472,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021634-27,SINGLE,other,METAGENOMIC,83,82,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608583,SAMEA3136732,ERS608583,Illumina,ERS608583,ERP008729,Stool sample from carcinoma,ERR688471
